[GIN] 2019/08/04 - 20:21:16 | 200 |     1.61658ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:21:16 | 200 |    2.738172ms |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:21:16 | 200 |    4.061843ms |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/08/04 - 20:22:24 | 200 |    1.333823ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:22:24 | 200 |     889.568µs |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:22:24 | 200 |     770.409µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/08/04 - 20:22:25 | 200 |     902.677µs |       127.0.0.1 | GET      /get/fish/info?id=77
[GIN] 2019/08/04 - 20:33:01 | 200 |    3.505252ms |       127.0.0.1 | POST     /post/fish/del
[GIN] 2019/08/04 - 20:33:01 | 200 |    1.243913ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:33:01 | 200 |     794.164µs |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:33:02 | 200 |    3.586026ms |       127.0.0.1 | POST     /post/fish/del
[GIN] 2019/08/04 - 20:33:02 | 200 |     1.35138ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:33:02 | 200 |     650.803µs |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:33:41 | 200 |    3.068789ms |       127.0.0.1 | POST     /api/v1/post/report
[GIN] 2019/08/04 - 20:33:45 | 200 |    1.526386ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:33:45 | 200 |     781.029µs |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:33:45 | 200 |     425.853µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/08/04 - 20:33:48 | 200 |    3.641487ms |       127.0.0.1 | POST     /post/fish/del
[GIN] 2019/08/04 - 20:33:48 | 200 |    1.129608ms |       127.0.0.1 | GET      /fish
[GIN] 2019/08/04 - 20:33:48 | 200 |     717.537µs |       127.0.0.1 | GET      /get/fish/list
[GIN] 2019/08/04 - 20:33:49 | 200 |     740.755µs |       127.0.0.1 | GET      /get/fish/info?id=78
